"arm","scenario","setting","value","response","n_reps","mean","ci_lower","ci_upper"
"baseline","moderate_intensity","shipped",0,"decisions",50,164,154.741343877934,173.258656122066
"baseline","moderate_intensity","shipped",0,"boarded",50,162.74,153.850124111301,171.629875888699
"baseline","moderate_intensity","shipped",0,"queued_at_end",50,1.26,0.628915275214694,1.89108472478531
"baseline","moderate_intensity","shipped",0,"mean_wait_days",50,0.805777982860899,0.678724999613323,0.932830966108476
"baseline","moderate_intensity","shipped",0,"p90_wait_days",50,2.9411893863919,2.57906144201813,3.30331733076568
"baseline","moderate_intensity","shipped",0,"mean_wait_critical",50,0.893772672547949,0.737837002293495,1.0497083428024
"baseline","moderate_intensity","shipped",0,"mean_wait_standard",50,0.657046500571492,0.539858511336547,0.774234489806438
"baseline","moderate_intensity","shipped",0,"sorties_scheduled",50,4,4,4
"baseline","moderate_intensity","shipped",0,"sorties_flown",50,4,4,4
"baseline","moderate_intensity","shipped",0,"cancellation_rate",50,0,0,0
"baseline","moderate_intensity","shipped",0,"role4_peak",50,104.02,97.5623762988234,110.477623701177
"baseline","moderate_intensity","shipped",0,"role4_peak_day",50,28.64,28.108285367111,29.171714632889
"baseline","moderate_intensity","shipped",0,"role4_peak_after_end",50,-1.36,-1.89171463288901,-0.828285367110993
"baseline","moderate_intensity","shipped",0,"hold_total_bed_days",50,437.457931643813,405.09365923182,469.822204055806
"baseline","moderate_intensity","shipped",0,"hold_evac_bed_days",50,46.910307209089,35.249383516676,58.571230901502
"baseline","moderate_intensity","shipped",0,"hold_recovery_bed_days",50,390.547624434724,365.766921122949,415.328327746499
"baseline","moderate_intensity","shipped",0,"hold_evac_share",50,0.0994094321648881,0.0826540420633756,0.116164822266401
"baseline","moderate_intensity","shipped",0,"ventilated_holds",50,13.6,12.3071736182737,14.8928263817263
"baseline","moderate_intensity","shipped",0,"ventilated_hold_hours",50,27.0188281967836,23.8397242473702,30.1979321461969
"high","high_intensity","shipped",0,"decisions",50,263.44,259.047676470493,267.832323529507
"high","high_intensity","shipped",0,"boarded",50,236.48,232.02356723243,240.93643276757
"high","high_intensity","shipped",0,"queued_at_end",50,26.96,23.8568767086938,30.0631232913062
"high","high_intensity","shipped",0,"mean_wait_days",50,2.39430452500646,2.2215969428785,2.56701210713442
"high","high_intensity","shipped",0,"p90_wait_days",50,5.10764625537853,4.92361156130384,5.29168094945321
"high","high_intensity","shipped",0,"mean_wait_critical",50,2.86664950462827,2.67167073253666,3.06162827671989
"high","high_intensity","shipped",0,"mean_wait_standard",50,1.75284950984965,1.5955395756789,1.91015944402039
"high","high_intensity","shipped",0,"sorties_scheduled",50,4,4,4
"high","high_intensity","shipped",0,"sorties_flown",50,4,4,4
"high","high_intensity","shipped",0,"cancellation_rate",50,0,0,0
"high","high_intensity","shipped",0,"role4_peak",50,159.64,156.117530937961,163.162469062039
"high","high_intensity","shipped",0,"role4_peak_day",50,29.34,28.9080009382164,29.7719990617836
"high","high_intensity","shipped",0,"role4_peak_after_end",50,-0.66,-1.09199906178356,-0.228000938216441
