"pool","replication","bin_start_day","queue","intensity"
"R2B holding beds",1,0,0,"Moderate intensity"
"R2B holding beds",1,0.166666666666667,0,"Moderate intensity"
"R2B holding beds",1,0.333333333333333,0,"Moderate intensity"
"R2B holding beds",1,0.5,0,"Moderate intensity"
"R2B holding beds",1,0.666666666666667,0,"Moderate intensity"
"R2B holding beds",1,0.833333333333333,0,"Moderate intensity"
"R2B holding beds",1,1,0,"Moderate intensity"
"R2B holding beds",1,1.16666666666667,0,"Moderate intensity"
"R2B holding beds",1,1.33333333333333,0,"Moderate intensity"
"R2B holding beds",1,1.5,0,"Moderate intensity"
"R2B holding beds",1,1.66666666666667,0,"Moderate intensity"
"R2B holding beds",1,1.83333333333333,0.6366,"Moderate intensity"
"R2B holding beds",1,2,1,"Moderate intensity"
"R2B holding beds",1,2.16666666666667,1,"Moderate intensity"
"R2B holding beds",1,2.33333333333333,1,"Moderate intensity"
"R2B holding beds",1,2.5,0.6015,"Moderate intensity"
"R2B holding beds",1,2.66666666666667,0,"Moderate intensity"
"R2B holding beds",1,2.83333333333333,0,"Moderate intensity"
"R2B holding beds",1,3,0,"Moderate intensity"
"R2B holding beds",1,3.16666666666667,0,"Moderate intensity"
"R2B holding beds",1,3.33333333333333,0,"Moderate intensity"
"R2B holding beds",1,3.5,0,"Moderate intensity"
"R2B holding beds",1,3.66666666666667,0,"Moderate intensity"
"R2B holding beds",1,3.83333333333333,0,"Moderate intensity"
"R2B holding beds",1,4,0,"Moderate intensity"
"R2B holding beds",1,4.16666666666667,0,"Moderate intensity"
"R2B holding beds",1,4.33333333333333,0,"Moderate intensity"
"R2B holding beds",1,4.5,0,"Moderate intensity"
"R2B holding beds",1,4.66666666666667,0,"Moderate intensity"
"R2B holding beds",1,4.83333333333333,0,"Moderate intensity"
"R2B holding beds",1,5,0,"Moderate intensity"
"R2B holding beds",1,5.16666666666667,0.1521,"Moderate intensity"
"R2B holding beds",1,5.33333333333333,2.1577,"Moderate intensity"
"R2B holding beds",1,5.5,2.0843,"Moderate intensity"
"R2B holding beds",1,5.66666666666667,2,"Moderate intensity"
"R2B holding beds",1,5.83333333333333,2,"Moderate intensity"
"R2B holding beds",1,6,2,"Moderate intensity"
"R2B holding beds",1,6.16666666666667,2,"Moderate intensity"
