"policy_days","hold_occupancy","hold_mean_queue","icu_occupancy","icu_mean_queue","total_rtd","total_dow","dispositions","in_theatre_share","post_definitive_icu_share","evac_decisions","never_evacuated","mean_evac_wait_days","role4_sustained","role4_peak","replication","hold_beds"
21,0.383122079210391,0,0.850683221404619,0.293166976314811,2188,16,2481,0.106811769447803,0.364647026125625,2216,1,0.15502125220763,81.3636363636364,173,1,90
21,0.434867792071299,0,0.866563083924052,0.459260729462784,2170,23,2616,0.11697247706422,0.328358208955224,2310,2,0.182691817618289,101.636363636364,187,2,90
21,0.434291163356951,0,0.838972796068324,0.21896455801211,2000,10,2486,0.106194690265487,0.359805510534846,2222,0,0.181546368344281,85.7647058823529,163,3,90
21,0.227120695540965,0,0.889627010038312,0.360951414329952,2304,14,2977,0.115216661068189,0.306745670009116,2634,1,1.02686413018552,98.8515625,180,4,90
21,0.333345369089993,0,0.850647361211205,0.335665134762759,2118,14,2588,0.104714064914992,0.346036585365854,2317,1,0.395599272832227,90.9920634920635,180,5,90
21,0.51206311014579,0,0.898515975657668,0.449376840354791,2202,20,2667,0.111736032995876,0.349070818684078,2369,2,0.150062088947293,100.93893129771,175,6,90
21,0.44119709543265,0,0.898031646545154,0.362145961778345,2201,18,2520,0.116666666666667,0.372132064913262,2226,1,0.17828459001934,87.8333333333333,156,7,90
21,0.505409603816522,0,0.814801307261058,0.218100707019184,2271,18,2716,0.107142857142857,0.329611650485437,2425,0,0.132577740962863,77.9457364341085,188,8,90
21,0.515716241643904,0,0.87329354174934,0.41333489572638,2140,16,2473,0.111605337646583,0.367290748898678,2197,0,0.142983698612499,101.7890625,163,9,90
21,0.365482476774605,0,0.893000762932954,0.338353959253823,2188,16,2585,0.113733075435203,0.345280161534579,2291,0,0.215283179142366,97.130081300813,156,10,90
21,0.502462649357719,0,0.909705329791729,0.492951003764937,2131,16,2542,0.112903225806452,0.362551867219917,2255,1,0.182791600974364,106.922480620155,167,11,90
21,0.515133701191931,0,0.880115514071278,0.337471131765534,2241,17,2983,0.110962118672477,0.311519497982967,2652,2,0.136956973979476,99.259842519685,203,12,90
21,0.484659929455622,0,0.885758312216911,0.428351306235714,2153,17,2611,0.1118345461509,0.339340885684861,2319,0,0.169613655950107,84.5426356589147,181,13,90
21,0.572186385230835,0,0.891986368319785,0.364627469503227,2209,16,2582,0.112703330751356,0.366826156299841,2291,0,0.166748224771799,106.258064516129,163,14,90
21,0.456489319744527,0,0.863077598899156,0.278170313743272,2125,14,2422,0.100330305532618,0.374719101123596,2179,0,0.145624375151221,80.5284552845528,151,15,90
21,0.53982188796599,0,0.901406083949477,0.453287938698673,2208,21,2733,0.109769484083425,0.343564356435644,2433,1,0.173477375359988,115.149606299213,188,16,90
21,0.255618147801776,0,0.87010533696467,0.300175632295748,2079,16,2482,0.107171635777599,0.343408025013028,2216,2,0.28222887817273,76.765625,185,17,90
21,0.429481768339189,0,0.884319176145932,0.53410185487835,2287,15,2719,0.106656859139389,0.335839598997494,2429,0,0.161472928403328,101.688524590164,181,18,90
21,0.415707470575428,0,0.871218109069701,0.30714846210325,2179,9,2540,0.112204724409449,0.379514824797844,2255,1,0.139449804501556,89.3412698412698,185,19,90
21,0.514849304502175,0,0.879239125957418,0.442509901026012,2146,17,2597,0.109356950327301,0.345416882444329,2313,0,0.153989021420931,102.53125,193,20,90
21,0.426467833672832,0,0.852578316546065,0.396475077163231,2161,20,2477,0.122729107791683,0.379619260918253,2173,2,0.127089564520672,93.15625,149,21,90
21,0.441625152297176,0,0.829117207774688,0.255287714561403,2187,17,2363,0.125264494286923,0.392419825072886,2067,0,0.181278014899708,76.5,160,22,90
21,0.578447289462291,0,0.870266658353321,0.481301766013191,2252,10,2801,0.1163870046412,0.312706660368446,2475,0,0.158147221680553,102.609375,176,23,90
21,0.433623127810531,0,0.827506528086388,0.269424361766811,2122,17,2481,0.11285771866183,0.384786229872293,2201,0,0.15833127340974,74.9444444444444,181,24,90
21,0.445683264088884,0,0.887794648930377,0.480478479516861,2187,13,2570,0.114785992217899,0.35140771637122,2275,0,0.171500620792752,91.4885496183206,170,25,90
21,0.485796125339175,0,0.834490187485116,0.284529193609706,2202,13,2642,0.107872823618471,0.338562753036437,2357,0,0.1215908581005,86.2615384615385,159,26,90
21,0.362895002560909,0,0.837481246703134,0.240555453567689,2097,14,2386,0.112740989103101,0.386787125917561,2117,1,0.153408280193199,90.2049180327869,162,27,90
21,0.491289017160225,0,0.864740462490843,0.394010788332081,2193,12,2555,0.114285714285714,0.365614798694233,2263,0,0.157219676265267,89.3852459016394,173,28,90
21,0.388681805580428,0,0.892791699772445,0.587500488210163,2257,21,2822,0.101700921332388,0.320297951582868,2535,0,0.300454532192446,109.923076923077,179,29,90
21,0.354804957030303,0,0.894798583383566,0.428091887720167,2146,27,2611,0.106089620834929,0.334170854271357,2334,3,0.164343317886322,86.7076923076923,173,30,90
